N,E
50,0.550742
50,0.564828
50,0.567154
50,0.585445
51,0.579433
50,0.565297
50,0.546656
50,0.574391
50,0.560290
50,0.540130
50,0.552479
52,0.574005
52,0.587914
51,0.612278
50,0.559994
50,0.602685
49,0.576212
50,0.623883
50,0.596195
50,0.618618
51,0.603599
51,0.612417
50,0.599521
50,0.622899
50,0.626539
50,0.632284
50,0.625881
51,0.639195
50,0.644900
50,0.667992
50,0.652197
50,0.664401
50,0.655686
50,0.632173
50,0.655727
50,0.687977
48,0.554750
49,0.616653
54,0.652339
49,0.594577
50,0.612337
49,0.581955
50,0.568350
50,0.558401
49,0.466669
50,0.528690
50,0.495144
50,0.475861
50,0.484350
52,0.460844
50,0.462217
50,0.509662
50,0.525939
51,0.513980
50,0.476262
49,0.461110
50,0.451872
50,0.455097
50,0.480667
50,0.518495
50,0.504770
50,0.502369
50,0.523848
49,0.501065
49,0.506794
51,0.484437
48,0.416923
51,0.474157
51,0.439362
50,0.427592
50,0.460830
50,0.491692
50,0.501859
50,0.522760
50,0.526187
49,0.488862
50,0.604585
49,0.558228
51,0.577873
49,0.468898
49,0.495451
51,0.500249
49,0.507480
49,0.556974
50,0.585541
50,0.555787
50,0.537215
50,0.538532
50,0.534139
49,0.500433
50,0.497250
49,0.444417
49,0.453867
49,0.465493
50,0.516473
50,0.506937
51,0.508763
51,0.528711
50,0.511832
50,0.540303
50,0.542157
49,0.518788
51,0.520017
51,0.508468
51,0.484893
51,0.464281
49,0.469292
50,0.508629
50,0.526550
50,0.512478
50,0.534270
50,0.547506
50,0.551208
50,0.553873
50,0.539889
50,0.530099
50,0.555550
50,0.543168
50,0.529232
50,0.542633
50,0.545015
50,0.536638
50,0.547797
49,0.538005
50,0.495024
49,0.472587
49,0.485560
51,0.490474
51,0.503487
51,0.510828
49,0.486253
50,0.473138
50,0.484045
50,0.494651
50,0.513436
50,0.519812
49,0.458358
51,0.564128
50,0.549160
49,0.496730
49,0.529273
49,0.548699
52,0.522577
50,0.470838
50,0.493280
50,0.486128
50,0.493848
50,0.482375
50,0.507866
50,0.526956
50,0.526103
50,0.527921
50,0.525024
50,0.500420
50,0.515216
50,0.526731
50,0.548048
51,0.544834
50,0.568067
49,0.471727
50,0.488637
50,0.504319
50,0.525434
50,0.553732
51,0.547292
51,0.567203
51,0.576069
48,0.534053
51,0.537961
50,0.491083
50,0.499836
50,0.502829
50,0.528937
50,0.514095
50,0.531217
50,0.547338
51,0.519756
51,0.527495
50,0.501209
52,0.497509
52,0.495194
51,0.471907
51,0.494292
49,0.439119
50,0.465373
50,0.479258
50,0.501735
50,0.540750
49,0.480073
49,0.514396
51,0.498351
51,0.507522
51,0.503232
50,0.484151
