N,E
51,0.401495
51,0.401887
51,0.417902
51,0.417624
50,0.373261
50,0.391574
50,0.375736
50,0.376507
50,0.383679
50,0.391512
50,0.419603
50,0.441473
50,0.458383
50,0.450328
50,0.460824
50,0.453072
50,0.450774
50,0.478543
50,0.484231
50,0.498238
50,0.490970
51,0.492921
51,0.507323
51,0.499009
52,0.494954
52,0.503952
52,0.499185
52,0.501517
52,0.507110
52,0.483047
52,0.470248
52,0.477392
52,0.495109
51,0.503169
51,0.524946
50,0.456225
50,0.514992
50,0.532355
50,0.539044
50,0.543590
50,0.532552
50,0.545139
50,0.553073
49,0.555306
49,0.536230
49,0.539269
49,0.542279
49,0.551186
49,0.554474
49,0.581810
49,0.587954
50,0.590864
50,0.602116
50,0.602413
50,0.627759
50,0.620440
50,0.644619
50,0.660160
50,0.649684
50,0.645469
51,0.652191
51,0.635212
51,0.660570
51,0.679635
51,0.683973
50,0.671420
50,0.671476
50,0.662180
50,0.660974
50,0.655810
50,0.638709
50,0.602821
50,0.627904
51,0.641033
52,0.651006
52,0.664473
53,0.678238
53,0.645799
53,0.640002
53,0.656984
53,0.665208
53,0.700223
53,0.711215
53,0.730536
53,0.737274
53,0.752821
53,0.760585
53,0.768371
53,0.761322
52,0.715747
51,0.665112
51,0.659239
51,0.690542
51,0.665256
51,0.689635
51,0.713703
51,0.722144
50,0.661734
50,0.682357
51,0.687366
52,0.669909
52,0.674863
52,0.686378
52,0.688657
52,0.676874
52,0.666081
52,0.666431
52,0.653711
52,0.676145
52,0.678927
52,0.724426
52,0.734602
52,0.743929
50,0.685619
50,0.717758
50,0.705744
51,0.702731
51,0.708990
53,0.690925
53,0.711161
52,0.654085
52,0.675354
52,0.684004
52,0.702021
52,0.717778
52,0.740869
52,0.772572
53,0.758382
53,0.777361
53,0.813918
53,0.830461
53,0.836504
54,0.829349
54,0.854897
54,0.870918
54,0.878394
54,0.865780
54,0.883305
55,0.890027
55,0.883819
54,0.819914
54,0.804083
54,0.801840
53,0.740399
52,0.635603
52,0.641580
52,0.675315
52,0.715428
53,0.690031
53,0.685484
53,0.668510
53,0.644375
53,0.646548
53,0.645238
53,0.652577
53,0.661552
53,0.664008
52,0.626604
51,0.628358
51,0.651497
51,0.665673
51,0.678998
51,0.587589
53,0.651280
53,0.665656
53,0.695692
54,0.675984
54,0.690110
52,0.553015
52,0.569217
52,0.598249
52,0.631628
52,0.617056
